"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
170,16 Sep 2021 10:42:02.356,16 Sep 2021 10:47:18.686,316.330
171,16 Sep 2021 12:14:48.285,16 Sep 2021 12:21:36.219,407.933
172,16 Sep 2021 21:22:30.788,16 Sep 2021 21:27:32.734,301.946
173,16 Sep 2021 22:54:37.244,16 Sep 2021 23:01:35.917,418.673
174,17 Sep 2021 10:17:25.357,17 Sep 2021 10:19:48.729,143.371
175,17 Sep 2021 11:48:49.215,17 Sep 2021 11:56:01.717,432.502
176,17 Sep 2021 20:58:08.085,17 Sep 2021 21:00:42.052,153.967
177,17 Sep 2021 22:28:36.044,17 Sep 2021 22:35:51.254,435.210
178,18 Sep 2021 11:22:58.872,18 Sep 2021 11:30:10.901,432.030
179,18 Sep 2021 12:57:36.268,18 Sep 2021 13:01:23.207,226.938
180,18 Sep 2021 22:02:51.526,18 Sep 2021 22:09:57.543,426.017
181,18 Sep 2021 23:38:09.842,18 Sep 2021 23:42:03.092,233.249
182,19 Sep 2021 10:57:18.219,19 Sep 2021 11:04:02.712,404.492
183,19 Sep 2021 12:31:03.439,19 Sep 2021 12:36:39.687,336.248
184,19 Sep 2021 21:37:23.538,19 Sep 2021 21:43:54.898,391.360
185,19 Sep 2021 23:11:08.691,19 Sep 2021 23:17:00.496,351.805
186,20 Sep 2021 10:31:51.485,20 Sep 2021 10:37:32.770,341.285
187,20 Sep 2021 12:04:50.957,20 Sep 2021 12:11:28.176,397.219
188,20 Sep 2021 21:12:14.748,20 Sep 2021 21:17:40.653,325.904
189,20 Sep 2021 22:44:41.938,20 Sep 2021 22:51:31.573,409.635
190,21 Sep 2021 10:06:55.052,21 Sep 2021 10:10:24.423,209.371
191,21 Sep 2021 11:38:49.504,21 Sep 2021 11:45:58.038,428.534
192,21 Sep 2021 20:47:36.696,21 Sep 2021 20:51:03.323,206.627
193,21 Sep 2021 22:18:36.076,21 Sep 2021 22:25:49.567,433.491
194,22 Sep 2021 11:12:56.882,22 Sep 2021 11:20:11.480,434.597
195,22 Sep 2021 12:47:54.010,22 Sep 2021 12:50:55.595,181.586
196,22 Sep 2021 21:52:47.317,22 Sep 2021 21:59:58.120,430.803
197,22 Sep 2021 23:28:39.575,22 Sep 2021 23:31:38.471,178.896
198,23 Sep 2021 10:47:13.480,23 Sep 2021 10:54:08.059,414.578
199,23 Sep 2021 12:21:10.658,23 Sep 2021 12:26:24.599,313.941
200,23 Sep 2021 21:27:14.911,23 Sep 2021 21:33:57.913,403.002
201,23 Sep 2021 23:01:21.609,23 Sep 2021 23:06:50.532,328.923
202,24 Sep 2021 10:21:42.384,24 Sep 2021 10:27:44.542,362.158
203,24 Sep 2021 11:54:54.358,24 Sep 2021 12:01:18.896,384.539
204,24 Sep 2021 21:02:00.603,24 Sep 2021 21:07:47.204,346.601
205,24 Sep 2021 22:34:48.015,24 Sep 2021 22:41:26.376,398.361
206,25 Sep 2021 09:56:34.379,25 Sep 2021 10:00:49.910,255.532
207,25 Sep 2021 11:28:50.385,25 Sep 2021 11:35:53.257,422.872
208,25 Sep 2021 20:37:12.009,25 Sep 2021 20:41:18.413,246.404
209,25 Sep 2021 22:08:37.257,25 Sep 2021 22:15:47.251,429.994
210,26 Sep 2021 11:02:55.509,26 Sep 2021 11:10:10.931,435.422
211,26 Sep 2021 12:38:21.503,26 Sep 2021 12:40:17.709,116.206
212,26 Sep 2021 21:42:44.205,26 Sep 2021 21:49:58.105,433.901
213,26 Sep 2021 23:19:27.799,26 Sep 2021 23:20:55.939,88.140
214,27 Sep 2021 10:37:09.541,27 Sep 2021 10:44:12.073,422.533
215,27 Sep 2021 12:11:19.430,27 Sep 2021 12:16:07.436,288.006
216,27 Sep 2021 21:17:07.484,27 Sep 2021 21:24:00.236,412.752
217,27 Sep 2021 22:51:37.098,27 Sep 2021 22:56:38.548,301.451
218,28 Sep 2021 10:11:34.699,28 Sep 2021 10:17:54.351,379.652
219,28 Sep 2021 11:44:58.554,28 Sep 2021 11:51:08.297,369.744
220,28 Sep 2021 20:51:48.097,28 Sep 2021 20:57:52.626,364.529
221,28 Sep 2021 22:24:55.593,28 Sep 2021 22:31:20.209,384.616
222,29 Sep 2021 09:46:18.530,29 Sep 2021 09:51:10.003,291.474
223,29 Sep 2021 11:18:51.866,29 Sep 2021 11:25:47.352,415.486
224,29 Sep 2021 20:26:51.276,29 Sep 2021 20:31:30.068,278.792
225,29 Sep 2021 21:58:39.622,29 Sep 2021 22:05:44.270,424.648
226,30 Sep 2021 10:52:54.728,30 Sep 2021 11:00:09.266,434.538
227,30 Sep 2021 20:02:52.745,30 Sep 2021 20:04:16.895,84.150
228,30 Sep 2021 21:32:42.190,30 Sep 2021 21:39:57.513,435.324
229,1 Oct 2021 10:27:06.339,1 Oct 2021 10:34:14.826,428.488
230,1 Oct 2021 12:01:30.263,1 Oct 2021 12:05:47.695,257.432
231,1 Oct 2021 21:07:01.219,1 Oct 2021 21:14:01.916,420.697
232,1 Oct 2021 22:41:55.892,1 Oct 2021 22:46:23.814,267.922
233,2 Oct 2021 10:01:28.198,2 Oct 2021 10:08:02.437,394.240
234,2 Oct 2021 11:35:03.656,2 Oct 2021 11:40:56.278,352.622
235,2 Oct 2021 20:41:37.060,2 Oct 2021 20:47:57.102,380.042
236,2 Oct 2021 22:15:04.826,2 Oct 2021 22:21:12.926,368.099
237,3 Oct 2021 09:36:05.764,3 Oct 2021 09:41:26.447,320.683
238,3 Oct 2021 11:08:53.980,3 Oct 2021 11:15:40.305,406.325
239,3 Oct 2021 20:16:33.356,3 Oct 2021 20:21:39.433,306.077
240,3 Oct 2021 21:48:43.222,3 Oct 2021 21:55:40.575,417.353
241,4 Oct 2021 09:11:24.628,4 Oct 2021 09:14:00.986,156.358
242,4 Oct 2021 10:42:54.530,4 Oct 2021 10:50:06.507,431.977
243,4 Oct 2021 19:52:07.624,4 Oct 2021 19:54:51.458,163.834
244,4 Oct 2021 21:22:41.281,4 Oct 2021 21:29:56.331,435.050
245,5 Oct 2021 10:17:03.814,5 Oct 2021 10:24:16.378,432.564
246,5 Oct 2021 11:51:44.072,5 Oct 2021 11:55:24.455,220.383
247,5 Oct 2021 20:56:56.080,5 Oct 2021 21:04:02.986,426.906
248,5 Oct 2021 22:32:19.362,5 Oct 2021 22:36:04.976,225.614
249,6 Oct 2021 09:51:22.702,6 Oct 2021 09:58:08.981,406.279
250,6 Oct 2021 11:25:09.821,6 Oct 2021 11:30:42.679,332.858
251,6 Oct 2021 20:31:27.365,6 Oct 2021 20:38:00.745,393.380
252,6 Oct 2021 22:05:15.936,6 Oct 2021 22:11:04.307,348.371
253,7 Oct 2021 09:25:55.211,7 Oct 2021 09:31:40.133,344.923
254,7 Oct 2021 10:58:56.764,7 Oct 2021 11:05:32.067,395.303
255,7 Oct 2021 20:06:17.646,7 Oct 2021 20:11:47.109,329.463
256,7 Oct 2021 21:38:48.133,7 Oct 2021 21:45:36.096,407.962
257,8 Oct 2021 09:00:56.559,8 Oct 2021 09:04:34.352,217.793
258,8 Oct 2021 10:32:54.915,8 Oct 2021 10:40:02.650,427.735
259,8 Oct 2021 19:41:37.661,8 Oct 2021 19:45:11.382,213.722
260,8 Oct 2021 21:12:41.496,8 Oct 2021 21:19:54.542,433.046
261,9 Oct 2021 10:07:01.927,9 Oct 2021 10:14:16.775,434.848
262,9 Oct 2021 11:42:02.852,9 Oct 2021 11:44:55.725,172.873
263,9 Oct 2021 20:46:52.046,9 Oct 2021 20:54:03.463,431.417
264,9 Oct 2021 22:22:50.800,9 Oct 2021 22:25:38.743,167.944
265,10 Oct 2021 09:41:18.098,10 Oct 2021 09:48:14.105,416.007
266,10 Oct 2021 11:15:17.269,10 Oct 2021 11:20:27.280,310.012
267,10 Oct 2021 20:21:18.937,10 Oct 2021 20:28:03.643,404.706
268,10 Oct 2021 21:55:29.234,10 Oct 2021 22:00:54.053,324.819
269,11 Oct 2021 09:15:46.357,11 Oct 2021 09:21:51.564,365.207
270,11 Oct 2021 10:49:00.288,11 Oct 2021 10:55:22.580,382.292
271,11 Oct 2021 19:56:03.779,11 Oct 2021 20:01:53.460,349.680
272,11 Oct 2021 21:28:54.446,11 Oct 2021 21:35:30.755,396.308
273,12 Oct 2021 08:50:36.855,12 Oct 2021 08:54:58.772,261.917
274,12 Oct 2021 10:22:55.891,12 Oct 2021 10:29:57.683,421.793
275,12 Oct 2021 19:31:13.732,12 Oct 2021 19:35:25.797,252.065
276,12 Oct 2021 21:02:42.866,12 Oct 2021 21:09:52.121,429.255
277,13 Oct 2021 09:57:00.649,13 Oct 2021 10:04:16.043,435.394
278,13 Oct 2021 11:32:33.386,13 Oct 2021 11:34:14.707,101.322
279,13 Oct 2021 20:36:49.111,13 Oct 2021 20:44:03.357,434.246
280,13 Oct 2021 22:13:47.367,13 Oct 2021 22:14:47.960,60.593
281,14 Oct 2021 09:31:14.283,14 Oct 2021 09:38:17.911,423.627
282,14 Oct 2021 11:05:26.333,14 Oct 2021 11:10:09.741,283.408
283,14 Oct 2021 20:11:11.699,14 Oct 2021 20:18:05.858,414.159
284,14 Oct 2021 21:45:45.197,14 Oct 2021 21:50:41.682,296.484
285,15 Oct 2021 09:05:38.878,15 Oct 2021 09:12:01.076,382.198
286,15 Oct 2021 10:39:04.622,15 Oct 2021 10:45:11.760,367.138
287,15 Oct 2021 19:45:51.521,15 Oct 2021 19:51:58.720,367.199
288,15 Oct 2021 21:19:02.277,15 Oct 2021 21:25:24.417,382.140
289,16 Oct 2021 08:40:21.591,16 Oct 2021 08:45:18.190,296.599
290,16 Oct 2021 10:12:57.471,16 Oct 2021 10:19:51.596,414.125
291,16 Oct 2021 19:20:53.512,16 Oct 2021 19:25:37.026,283.515
292,16 Oct 2021 20:52:45.427,16 Oct 2021 20:59:49.030,423.603
293,17 Oct 2021 08:16:14.995,17 Oct 2021 08:17:16.348,61.353
294,17 Oct 2021 09:46:59.964,17 Oct 2021 09:54:14.202,434.238
295,17 Oct 2021 18:56:48.408,17 Oct 2021 18:58:30.101,101.693
296,17 Oct 2021 20:26:47.275,17 Oct 2021 20:34:02.670,435.395
297,18 Oct 2021 09:21:11.195,18 Oct 2021 09:28:20.466,429.271
298,18 Oct 2021 10:55:37.570,18 Oct 2021 10:59:49.512,251.941
299,18 Oct 2021 20:01:05.621,18 Oct 2021 20:08:07.440,421.819
300,18 Oct 2021 21:36:04.630,18 Oct 2021 21:40:26.403,261.773
301,19 Oct 2021 08:55:32.551,19 Oct 2021 09:02:08.902,396.351
302,19 Oct 2021 10:29:09.885,19 Oct 2021 10:34:59.497,349.612
303,19 Oct 2021 19:35:40.709,19 Oct 2021 19:42:03.053,382.344
304,19 Oct 2021 21:09:11.798,19 Oct 2021 21:15:16.936,365.137
305,20 Oct 2021 08:30:09.230,20 Oct 2021 08:35:34.144,324.914
306,20 Oct 2021 10:02:59.692,20 Oct 2021 10:09:44.360,404.668
307,20 Oct 2021 19:10:35.986,20 Oct 2021 19:15:46.083,310.097
308,20 Oct 2021 20:42:49.234,20 Oct 2021 20:49:45.212,415.979
309,21 Oct 2021 08:05:24.460,21 Oct 2021 08:08:12.667,168.207
310,21 Oct 2021 09:36:59.860,21 Oct 2021 09:44:11.263,431.403
311,21 Oct 2021 18:46:07.480,21 Oct 2021 18:49:00.556,173.077
