"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
174,10 Sep 2021 06:27:51.151,10 Sep 2021 06:34:22.687,391.537
175,10 Sep 2021 08:04:13.943,10 Sep 2021 08:10:02.661,348.718
176,11 Sep 2021 02:20:49.076,11 Sep 2021 02:25:30.939,281.863
177,11 Sep 2021 03:55:46.089,11 Sep 2021 04:02:13.600,387.511
178,11 Sep 2021 05:31:58.728,11 Sep 2021 05:38:30.276,391.548
179,11 Sep 2021 07:08:15.275,11 Sep 2021 07:14:40.363,385.087
180,11 Sep 2021 08:45:07.531,11 Sep 2021 08:49:21.173,253.642
181,12 Sep 2021 03:00:18.331,12 Sep 2021 03:06:17.156,358.825
182,12 Sep 2021 04:36:05.812,12 Sep 2021 04:42:37.546,391.734
183,12 Sep 2021 06:12:23.448,12 Sep 2021 06:18:55.162,391.715
184,12 Sep 2021 07:48:44.167,12 Sep 2021 07:54:41.526,357.359
185,13 Sep 2021 02:05:36.629,13 Sep 2021 02:09:55.217,258.588
186,13 Sep 2021 03:40:20.227,13 Sep 2021 03:46:45.751,385.523
187,13 Sep 2021 05:16:30.765,13 Sep 2021 05:23:02.310,391.544
188,13 Sep 2021 06:52:47.407,13 Sep 2021 06:59:14.582,387.175
189,13 Sep 2021 08:29:31.411,13 Sep 2021 08:34:09.221,277.809
190,14 Sep 2021 02:44:57.013,14 Sep 2021 02:50:47.478,350.465
191,14 Sep 2021 04:20:38.254,14 Sep 2021 04:27:09.836,391.582
192,14 Sep 2021 05:56:55.712,14 Sep 2021 06:03:27.484,391.773
193,14 Sep 2021 07:33:14.873,14 Sep 2021 07:39:19.460,364.587
194,15 Sep 2021 01:50:27.147,15 Sep 2021 01:54:17.045,229.899
195,15 Sep 2021 03:24:54.827,15 Sep 2021 03:31:17.786,382.959
196,15 Sep 2021 05:01:02.792,15 Sep 2021 05:07:34.367,391.575
197,15 Sep 2021 06:37:19.629,15 Sep 2021 06:43:48.386,388.757
198,15 Sep 2021 08:13:57.143,15 Sep 2021 08:18:54.902,297.759
199,16 Sep 2021 02:29:36.711,16 Sep 2021 02:35:17.242,340.531
200,16 Sep 2021 04:05:10.880,16 Sep 2021 04:11:42.151,391.271
201,16 Sep 2021 05:41:27.933,16 Sep 2021 05:47:59.689,391.756
202,16 Sep 2021 07:17:45.968,16 Sep 2021 07:23:56.575,370.607
203,16 Sep 2021 08:56:11.821,16 Sep 2021 08:56:40.951,29.130
204,17 Sep 2021 01:35:21.944,17 Sep 2021 01:38:35.117,193.172
205,17 Sep 2021 03:09:29.949,17 Sep 2021 03:15:49.664,379.715
206,17 Sep 2021 04:45:34.826,17 Sep 2021 04:52:06.457,391.631
207,17 Sep 2021 06:21:51.908,17 Sep 2021 06:28:21.824,389.916
208,17 Sep 2021 07:58:24.264,17 Sep 2021 08:03:38.697,314.433
209,18 Sep 2021 02:14:17.562,18 Sep 2021 02:19:46.314,328.752
210,18 Sep 2021 03:49:43.730,18 Sep 2021 03:56:14.475,390.744
211,18 Sep 2021 05:26:00.111,18 Sep 2021 05:32:31.808,391.697
212,18 Sep 2021 07:02:17.376,18 Sep 2021 07:08:32.954,375.578
