"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
144,6 Sep 2021 00:01:27.542,6 Sep 2021 00:09:02.630,455.088
145,6 Sep 2021 11:41:17.875,6 Sep 2021 11:49:15.288,477.413
146,6 Sep 2021 13:17:21.057,6 Sep 2021 13:24:55.168,454.111
147,6 Sep 2021 22:39:06.965,6 Sep 2021 22:47:31.132,504.168
148,7 Sep 2021 00:16:17.497,7 Sep 2021 00:22:46.037,388.540
149,7 Sep 2021 11:55:15.380,7 Sep 2021 12:03:42.895,507.515
150,7 Sep 2021 13:31:47.507,7 Sep 2021 13:38:25.665,398.158
151,7 Sep 2021 21:20:26.761,7 Sep 2021 21:23:57.759,210.998
152,7 Sep 2021 22:53:04.621,7 Sep 2021 23:01:43.552,518.930
153,8 Sep 2021 00:31:33.550,8 Sep 2021 00:36:09.139,275.589
154,8 Sep 2021 12:09:18.947,8 Sep 2021 12:17:59.058,520.111
155,8 Sep 2021 13:46:24.342,8 Sep 2021 13:51:40.468,316.126
156,8 Sep 2021 21:33:19.309,8 Sep 2021 21:38:52.451,333.141
157,8 Sep 2021 23:07:12.239,8 Sep 2021 23:15:51.285,519.045
158,9 Sep 2021 10:48:51.062,9 Sep 2021 10:53:52.008,300.947
159,9 Sep 2021 12:23:27.516,9 Sep 2021 12:32:04.906,517.390
160,9 Sep 2021 14:01:26.214,9 Sep 2021 14:04:24.900,178.685
161,9 Sep 2021 21:46:37.375,9 Sep 2021 21:53:26.960,409.585
162,9 Sep 2021 23:21:30.308,9 Sep 2021 23:29:53.882,503.574
163,10 Sep 2021 11:02:19.223,10 Sep 2021 11:09:01.964,402.741
164,10 Sep 2021 12:37:40.756,10 Sep 2021 12:46:00.811,500.055
165,10 Sep 2021 22:00:10.143,10 Sep 2021 22:07:52.078,461.935
166,10 Sep 2021 23:36:00.130,10 Sep 2021 23:43:50.132,470.002
167,11 Sep 2021 11:16:04.882,11 Sep 2021 11:23:48.674,463.792
168,11 Sep 2021 12:51:58.922,11 Sep 2021 12:59:46.526,467.605
169,11 Sep 2021 22:13:54.414,11 Sep 2021 22:22:10.970,496.557
170,11 Sep 2021 23:50:44.488,11 Sep 2021 23:57:37.372,412.884
171,12 Sep 2021 11:30:00.109,12 Sep 2021 11:38:20.259,500.150
172,12 Sep 2021 13:06:23.070,12 Sep 2021 13:13:20.977,417.907
173,12 Sep 2021 20:55:45.237,12 Sep 2021 20:58:13.710,148.473
174,12 Sep 2021 22:27:48.966,12 Sep 2021 22:36:24.846,515.880
175,13 Sep 2021 00:05:50.343,13 Sep 2021 00:11:08.839,318.495
176,13 Sep 2021 11:44:01.940,13 Sep 2021 11:52:39.831,517.891
177,13 Sep 2021 13:20:55.966,13 Sep 2021 13:26:41.373,345.407
178,13 Sep 2021 21:08:21.262,13 Sep 2021 21:13:23.263,302.002
179,13 Sep 2021 22:41:53.446,13 Sep 2021 22:50:34.064,520.618
180,14 Sep 2021 00:21:54.314,14 Sep 2021 00:23:48.158,113.843
181,14 Sep 2021 10:23:52.921,14 Sep 2021 10:28:06.387,253.466
182,14 Sep 2021 11:58:09.015,14 Sep 2021 12:06:48.827,519.812
183,14 Sep 2021 13:35:46.395,14 Sep 2021 13:39:38.919,232.524
184,14 Sep 2021 21:21:33.314,14 Sep 2021 21:28:02.117,388.804
185,14 Sep 2021 22:56:08.161,14 Sep 2021 23:04:38.353,510.191
186,15 Sep 2021 10:37:11.293,15 Sep 2021 10:43:27.975,376.683
187,15 Sep 2021 12:12:20.795,15 Sep 2021 12:20:47.834,507.039
188,15 Sep 2021 21:35:01.988,15 Sep 2021 21:42:29.676,447.688
189,15 Sep 2021 23:10:34.112,15 Sep 2021 23:18:36.777,482.665
190,16 Sep 2021 10:50:52.790,16 Sep 2021 10:58:20.619,447.829
191,16 Sep 2021 12:26:37.353,16 Sep 2021 12:34:36.799,479.446
192,16 Sep 2021 21:48:42.857,16 Sep 2021 21:56:50.319,487.462
193,16 Sep 2021 23:25:13.478,16 Sep 2021 23:32:27.266,433.788
194,17 Sep 2021 11:04:45.469,17 Sep 2021 11:12:56.465,490.996
195,17 Sep 2021 12:40:59.450,17 Sep 2021 12:48:14.954,435.504
196,17 Sep 2021 22:02:34.273,17 Sep 2021 22:11:05.696,511.423
197,17 Sep 2021 23:40:11.326,17 Sep 2021 23:46:04.932,353.606
198,18 Sep 2021 11:18:45.433,18 Sep 2021 11:27:19.582,514.149
199,18 Sep 2021 12:55:29.127,18 Sep 2021 13:01:40.227,371.100
200,18 Sep 2021 20:43:26.114,18 Sep 2021 20:47:51.688,265.573
201,18 Sep 2021 22:16:35.654,18 Sep 2021 22:25:16.366,520.712
202,18 Sep 2021 23:55:45.493,18 Sep 2021 23:59:12.163,206.670
203,19 Sep 2021 09:59:02.624,19 Sep 2021 10:02:12.331,189.706
204,19 Sep 2021 11:32:50.963,19 Sep 2021 11:41:31.781,520.817
205,19 Sep 2021 13:10:12.201,19 Sep 2021 13:14:46.792,274.591
206,19 Sep 2021 20:56:30.812,19 Sep 2021 21:02:36.240,365.429
207,19 Sep 2021 22:30:47.102,19 Sep 2021 22:39:22.259,515.157
208,20 Sep 2021 10:12:05.380,20 Sep 2021 10:17:51.405,346.025
209,20 Sep 2021 11:47:01.294,20 Sep 2021 11:55:33.880,512.586
210,20 Sep 2021 13:25:48.925,20 Sep 2021 13:26:54.366,65.442
211,20 Sep 2021 21:09:55.009,20 Sep 2021 21:17:06.615,431.606
212,20 Sep 2021 22:45:09.381,20 Sep 2021 22:53:22.665,493.284
213,21 Sep 2021 10:25:41.748,21 Sep 2021 10:32:50.966,429.218
214,21 Sep 2021 12:01:16.319,21 Sep 2021 12:09:26.022,489.703
215,21 Sep 2021 21:23:32.323,21 Sep 2021 21:31:29.169,476.846
216,21 Sep 2021 22:59:44.215,21 Sep 2021 23:07:15.967,451.752
217,22 Sep 2021 10:39:31.532,22 Sep 2021 10:47:31.447,479.914
218,22 Sep 2021 12:15:36.548,22 Sep 2021 12:23:07.696,451.149
219,22 Sep 2021 21:37:20.543,22 Sep 2021 21:45:46.091,505.548
220,22 Sep 2021 23:14:35.405,22 Sep 2021 23:20:58.499,383.094
221,23 Sep 2021 10:53:29.470,23 Sep 2021 11:01:58.276,508.806
222,23 Sep 2021 12:30:03.506,23 Sep 2021 12:36:37.350,393.844
223,23 Sep 2021 20:18:35.115,23 Sep 2021 20:22:16.489,221.373
224,23 Sep 2021 21:51:18.831,23 Sep 2021 21:59:58.210,519.379
225,23 Sep 2021 23:29:53.943,23 Sep 2021 23:34:19.495,265.553
226,24 Sep 2021 09:34:36.983,24 Sep 2021 09:35:53.009,76.026
227,24 Sep 2021 11:07:33.373,24 Sep 2021 11:16:13.758,520.385
228,24 Sep 2021 12:44:41.259,24 Sep 2021 12:49:50.894,309.635
229,24 Sep 2021 20:31:30.108,24 Sep 2021 20:37:09.080,338.972
230,24 Sep 2021 22:05:27.097,24 Sep 2021 22:14:05.639,518.542
231,25 Sep 2021 09:47:02.187,25 Sep 2021 09:52:11.540,309.353
232,25 Sep 2021 11:21:42.247,25 Sep 2021 11:30:18.965,516.718
233,25 Sep 2021 12:59:46.413,25 Sep 2021 13:02:31.707,165.294
234,25 Sep 2021 20:44:49.283,25 Sep 2021 20:51:42.816,413.533
235,25 Sep 2021 22:19:45.863,25 Sep 2021 22:28:07.877,502.014
